Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Molecular cloning and functional characterization of porcine toll-like receptor 7 involved in recognition of single-stranded RNA virus/ssRNA.","/pubmed/17889367","Zhang Y, Guo Y, Lv K, Wang K, Sun S.","Mol Immunol. 2008 Feb;45(4):1184-90. Epub 2007 Sep 21.","Mol Immunol.  2008","PubMed","citation","PMID:17889367","pubmed","17889367","create date:2007/09/25 | first author:Zhang Y",
"Does early exposure or sensitization to inhalant allergens predict asthma in wheezing infants? A 20-year follow-up.","/pubmed/17883914","Piippo-Savolainen E, Remes S, Korppi M.","Allergy Asthma Proc. 2007 Jul-Aug;28(4):454-61.","Allergy Asthma Proc.  2007","PubMed","citation","PMID:17883914","pubmed","17883914","create date:2007/09/22 | first author:Piippo-Savolainen E",
"Capnocytophaga cynodegmi peritonitis in a peritoneal dialysis patient.","/pubmed/17881542","Pers C, Tvedegaard E, Christensen JJ, Bangsborg J.","J Clin Microbiol. 2007 Nov;45(11):3844-6. Epub 2007 Sep 19.","J Clin Microbiol.  2007","PubMed","citation","PMID:17881542 | PMCID:PMC2168517","pubmed","17881542","create date:2007/09/21 | first author:Pers C",
"A century of leishmaniasis in Alpes-Maritimes, France.","/pubmed/17877875","Marty P, Izri A, Ozon C, Haas P, Rosenthal E, Del Giudice P, Godenir J, Coulibaly E, Gari-Toussaint M, Delaunay P, Ferrua B, Haas H, Pratlong F, Le Fichoux Y.","Ann Trop Med Parasitol. 2007 Oct;101(7):563-74. Review.","Ann Trop Med Parasitol.  2007","PubMed","citation","PMID:17877875","pubmed","17877875","create date:2007/09/20 | first author:Marty P",
"Evolutionary conservation of P-selectin glycoprotein ligand-1 primary structure and function.","/pubmed/17868453","Baïsse B, Galisson F, Giraud S, Schapira M, Spertini O.","BMC Evol Biol. 2007 Sep 14;7:166.","BMC Evol Biol.  2007","PubMed","citation","PMID:17868453 | PMCID:PMC2174952","pubmed","17868453","create date:2007/09/18 | first author:Baïsse B",
"First reports of autochthonous eyeworm infection by Thelazia callipaeda (Spirurida, Thelaziidae) in dogs and cat from France.","/pubmed/17854998","Dorchies P, Chaudieu G, Siméon LA, Cazalot G, Cantacessi C, Otranto D.","Vet Parasitol. 2007 Nov 10;149(3-4):294-7. Epub 2007 Sep 12.","Vet Parasitol.  2007","PubMed","citation","PMID:17854998","pubmed","17854998","create date:2007/09/15 | first author:Dorchies P",
"Temporomandibular joint ankylosis in cats and dogs. A report of 10 cases.","/pubmed/17846685","Maas CP, Theyse LF.","Vet Comp Orthop Traumatol. 2007;20(3):192-7.","Vet Comp Orthop Traumatol.  2007","PubMed","citation","PMID:17846685","pubmed","17846685","create date:2007/09/12 | first author:Maas CP",
"Quantification of atopy and the probability of rhinitis in preschool children: a population-based birth cohort study.","/pubmed/17822449","Marinho S, Simpson A, Söderström L, Woodcock A, Ahlstedt S, Custovic A.","Allergy. 2007 Dec;62(12):1379-86. Epub 2007 Sep 5.","Allergy.  2007","PubMed","citation","PMID:17822449","pubmed","17822449","create date:2007/09/08 | first author:Marinho S",
"Hyperglycemia in critically ill patients.","/pubmed/17724990","Knieriem M, Otto CM, Macintire D.","Compend Contin Educ Vet. 2007 Jun;29(6):360-2, 364-72; quiz 372. Review.","Compend Contin Educ Vet.  2007","PubMed","citation","PMID:17724990","pubmed","17724990","create date:2007/08/30 | first author:Knieriem M",
"Embryonic stem cells in companion animals (horses, dogs and cats): present status and future prospects.","/pubmed/17714628","Tecirlioglu RT, Trounson AO.","Reprod Fertil Dev. 2007;19(6):740-7. Review.","Reprod Fertil Dev.  2007","PubMed","citation","PMID:17714628","pubmed","17714628","create date:2007/08/24 | first author:Tecirlioglu RT",
"Peritonitis associated with Pasteurella multocida in peritoneal dialysis patients--case report and review of the literature.","/pubmed/17703837","Antony SJ, Oglesby KA.","Clin Nephrol. 2007 Jul;68(1):52-6. Review.","Clin Nephrol.  2007","PubMed","citation","PMID:17703837","pubmed","17703837","create date:2007/08/21 | first author:Antony SJ",
"Cardiovascular responses produced by 5-hydroxytriptamine:a pharmacological update on the receptors/mechanisms involved and therapeutic implications.","/pubmed/17703282","Villalón CM, Centurión D.","Naunyn Schmiedebergs Arch Pharmacol. 2007 Oct;376(1-2):45-63. Epub 2007 Aug 17. Review.","Naunyn Schmiedebergs Arch Pharmacol.  2007","PubMed","citation","PMID:17703282","pubmed","17703282","create date:2007/08/19 | first author:Villalón CM",
"Rabies surveillance in the United States during 2006.","/pubmed/17696853","Blanton JD, Hanlon CA, Rupprecht CE.","J Am Vet Med Assoc. 2007 Aug 15;231(4):540-56.","J Am Vet Med Assoc.  2007","PubMed","citation","PMID:17696853","pubmed","17696853","create date:2007/08/19 | first author:Blanton JD",
"[Dipylidium caninum infection in an infant].","/pubmed/17695802","Tsumura N, Koga H, Hidaka H, Mukai F, Ikenaga M, Otsu Y, Masunaga K, Nagai K, Yoneda Y, Fukuma T, Ishimoto K.","Kansenshogaku Zasshi. 2007 Jul;81(4):456-8. Japanese. ","Kansenshogaku Zasshi.  2007","PubMed","citation","PMID:17695802","pubmed","17695802","create date:2007/08/19 | first author:Tsumura N",
"Nutritional considerations for animals with pulmonary disease.","/pubmed/17693211","Campbell SJ.","Vet Clin North Am Small Anim Pract. 2007 Sep;37(5):989-1006, viii. Review.","Vet Clin North Am Small Anim Pract.  2007","PubMed","citation","PMID:17693211","pubmed","17693211","create date:2007/08/19 | first author:Campbell SJ",
"Impact of community-based vector control on house infestation and Trypanosoma cruzi infection in Triatoma infestans, dogs and cats in the Argentine Chaco.","/pubmed/17686448","Cardinal MV, Lauricella MA, Marcet PL, Orozco MM, Kitron U, Gürtler RE.","Acta Trop. 2007 Sep;103(3):201-11. Epub 2007 Jun 27.","Acta Trop.  2007","PubMed","citation","PMID:17686448 | PMCID:PMC2931801","pubmed","17686448","create date:2007/08/10 | first author:Cardinal MV",
"Sensitization to serum albumins in children allergic to cow's milk and epithelia.","/pubmed/17680908","Vicente-Serrano J, Caballero ML, Rodríguez-Pérez R, Carretero P, Pérez R, Blanco JG, Juste S, Moneo I.","Pediatr Allergy Immunol. 2007 Sep;18(6):503-7.","Pediatr Allergy Immunol.  2007","PubMed","citation","PMID:17680908","pubmed","17680908","create date:2007/08/08 | first author:Vicente-Serrano J",
"What is human inflammatory bowel disease (IBD) more like: Johne's disease in cattle or IBD in dogs and cats?","/pubmed/17680652","Qin X.","Inflamm Bowel Dis. 2008 Jan;14(1):138. No abstract available. ","Inflamm Bowel Dis.  2008","PubMed","citation","PMID:17680652","pubmed","17680652","create date:2007/08/08 | first author:Qin X",
"Comparative genomic structure of human, dog, and cat MHC: HLA, DLA, and FLA.","/pubmed/17675392","Yuhki N, Beck T, Stephens R, Neelam B, O'Brien SJ.","J Hered. 2007;98(5):390-9. Epub 2007 Aug 3.","J Hered.  2007","PubMed","citation","PMID:17675392","pubmed","17675392","create date:2007/08/07 | first author:Yuhki N",
"Ctenocephalides felis in dogs and cats in Tandojam region.","/pubmed/19070134","Arijo AG, Omani KT, Rajput ZI.","Pak J Biol Sci. 2007 Aug 1;10(15):2579-82.","Pak J Biol Sci.  2007","PubMed","citation","PMID:19070134","pubmed","19070134","create date:2007/08/01 | first author:Arijo AG",
"Expression of feline angiotensin converting enzyme 2 and its interaction with SARS-CoV S1 protein.","/pubmed/17658563","Guo H, Guo A, Wang C, Yan B, Lu H, Chen H.","Res Vet Sci. 2008 Jun;84(3):494-6. Epub 2007 Jul 20.","Res Vet Sci.  2008","PubMed","citation","PMID:17658563","pubmed","17658563","create date:2007/07/31 | first author:Guo H",
"16S rRNA-based assays for quantitative detection of universal, human-, cow-, and dog-specific fecal Bacteroidales: a Bayesian approach.","/pubmed/17644149","Kildare BJ, Leutenegger CM, McSwain BS, Bambic DG, Rajal VB, Wuertz S.","Water Res. 2007 Aug;41(16):3701-15. Epub 2007 Jun 21.","Water Res.  2007","PubMed","citation","PMID:17644149","pubmed","17644149","create date:2007/07/24 | first author:Kildare BJ",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Urethral closure mechanisms during sneezing-induced stress in anesthetized female cats.","/pubmed/17626129","Julia-Guilloteau V, Denys P, Bernabé J, Mevel K, Chartier-Kastler E, Alexandre L, Giuliano F.","Am J Physiol Regul Integr Comp Physiol. 2007 Sep;293(3):R1357-67. Epub 2007 Jul 11.","Am J Physiol Regul Integr Comp Physiol.  2007","PubMed","citation","PMID:17626129","pubmed","17626129","create date:2007/07/13 | first author:Julia-Guilloteau V",
"Thyroid tumors in dogs and cats.","/pubmed/17619010","Barber LG.","Vet Clin North Am Small Anim Pract. 2007 Jul;37(4):755-73, vii. Review.","Vet Clin North Am Small Anim Pract.  2007","PubMed","citation","PMID:17619010","pubmed","17619010","create date:2007/07/10 | first author:Barber LG",
"Cardiovascular and renal manifestations of hyperthyroidism.","/pubmed/17619008","Syme HM.","Vet Clin North Am Small Anim Pract. 2007 Jul;37(4):723-43, vi. Review.","Vet Clin North Am Small Anim Pract.  2007","PubMed","citation","PMID:17619008","pubmed","17619008","create date:2007/07/10 | first author:Syme HM",
"New and old risk-factors for Toxoplasma gondii infection: prospective cross-sectional study among military personnel in the Czech Republic.","/pubmed/17617185","Kolbekova P, Kourbatova E, Novotna M, Kodym P, Flegr J.","Clin Microbiol Infect. 2007 Oct;13(10):1012-7. Epub 2007 Jul 6.","Clin Microbiol Infect.  2007","PubMed","citation","PMID:17617185","pubmed","17617185","create date:2007/07/10 | first author:Kolbekova P",
"Separation of large mammalian ventricular myosin differing in ATPase activity.","/pubmed/17612641","Rupp H, Maisch B.","Can J Physiol Pharmacol. 2007 Mar-Apr;85(3-4):326-31.","Can J Physiol Pharmacol.  2007","PubMed","citation","PMID:17612641","pubmed","17612641","create date:2007/07/07 | first author:Rupp H",
"Agreement among surgical pathologists evaluating routine histologic sections of digits amputated from cats and dogs.","/pubmed/17609360","Wobeser BK, Kidney BA, Powers BE, Withrow SJ, Mayer MN, Spinato MT, Allen AL.","J Vet Diagn Invest. 2007 Jul;19(4):439-43.","J Vet Diagn Invest.  2007","PubMed","citation","PMID:17609360","pubmed","17609360","create date:2007/07/05 | first author:Wobeser BK",
"Mycobacterium fortuitum pneumonia in a cat and the role of lipid in the pathogenesis of atypical mycobacterial infections.","/pubmed/17606521","Couto SS, Artacho CA.","Vet Pathol. 2007 Jul;44(4):543-6.","Vet Pathol.  2007","PubMed","citation","PMID:17606521","pubmed","17606521","create date:2007/07/04 | first author:Couto SS",
"Estrus induction and synchronization in canids and felids.","/pubmed/17582484","Kutzler MA.","Theriogenology. 2007 Aug;68(3):354-74. Epub 2007 Jun 19. Review.","Theriogenology.  2007","PubMed","citation","PMID:17582484","pubmed","17582484","create date:2007/06/22 | first author:Kutzler MA",
"Genetic analysis of influenza A virus (H5N1) derived from domestic cat and dog in Thailand.","/pubmed/17577611","Amonsin A, Songserm T, Chutinimitkul S, Jam-On R, Sae-Heng N, Pariyothorn N, Payungporn S, Theamboonlers A, Poovorawan Y.","Arch Virol. 2007;152(10):1925-33. Epub 2007 Jun 18.","Arch Virol.  2007","PubMed","citation","PMID:17577611","pubmed","17577611","create date:2007/06/20 | first author:Amonsin A",
"Experimental immunization of cats with a recombinant rabies-canine adenovirus vaccine elicits a long-lasting neutralizing antibody response against rabies.","/pubmed/17576027","Hu RL, Liu Y, Zhang SF, Zhang F, Fooks AR.","Vaccine. 2007 Jul 20;25(29):5301-7. Epub 2007 Jun 4.","Vaccine.  2007","PubMed","citation","PMID:17576027","pubmed","17576027","create date:2007/06/20 | first author:Hu RL",
"Rabies vaccination.","/pubmed/17575253","Wilsmore A, Taylor N.","Vet Rec. 2007 Jun 16;160(24):850. No abstract available. ","Vet Rec.  2007","PubMed","citation","PMID:17575253","pubmed","17575253","create date:2007/06/19 | first author:Wilsmore A",
"Toxocara canis: molecular cloning, characterization, expression and comparison of the kinetics of cDNA-derived arginine kinase.","/pubmed/17574244","Wickramasinghe S, Uda K, Nagataki M, Yatawara L, Rajapakse RP, Watanabe Y, Suzuki T, Agatsuma T.","Exp Parasitol. 2007 Oct;117(2):124-32. Epub 2007 Apr 4.","Exp Parasitol.  2007","PubMed","citation","PMID:17574244","pubmed","17574244","create date:2007/06/19 | first author:Wickramasinghe S",
"Search methods that people use to find owners of lost pets.","/pubmed/17571985","Lord LK, Wittum TE, Ferketich AK, Funk JA, Rajala-Schultz PJ.","J Am Vet Med Assoc. 2007 Jun 15;230(12):1835-40.","J Am Vet Med Assoc.  2007","PubMed","citation","PMID:17571985","pubmed","17571985","create date:2007/06/19 | first author:Lord LK",
"[Radiation exposure of the pet owner during standardised X-ray diagnostic examinations of dogs and cats].","/pubmed/17555048","Seifert H, Lüpke M, Niehaus H, Meyer-Lindenberg A.","Berl Munch Tierarztl Wochenschr. 2007 May-Jun;120(5-6):251-9. German. ","Berl Munch Tierarztl Wochenschr.  2007","PubMed","citation","PMID:17555048","pubmed","17555048","create date:2007/06/09 | first author:Seifert H",
"Developments continue in recall of pet food.","/pubmed/17542687","[No authors listed]","Am J Vet Res. 2007 Jun;68(6):579-80. No abstract available. ","Am J Vet Res.  2007","PubMed","citation","PMID:17542687","pubmed","17542687","create date:2007/06/05",
"Mass + retention time = structure: a strategy for the analysis of N-glycans by carbon LC-ESI-MS and its application to fibrin N-glycans.","/pubmed/17539604","Pabst M, Bondili JS, Stadlmann J, Mach L, Altmann F.","Anal Chem. 2007 Jul 1;79(13):5051-7. Epub 2007 Jun 1.","Anal Chem.  2007","PubMed","citation","PMID:17539604","pubmed","17539604","create date:2007/06/02 | first author:Pabst M",
"Mitochondrial multiplex real-time PCR as a source tracking method in fecal-contaminated effluents.","/pubmed/17539537","Caldwell JM, Raley ME, Levine JF.","Environ Sci Technol. 2007 May 1;41(9):3277-83.","Environ Sci Technol.  2007","PubMed","citation","PMID:17539537","pubmed","17539537","create date:2007/06/02 | first author:Caldwell JM",
"Immunohistochemical expression of h-telomerase reverse transcriptase in canine and feline meningiomas.","/pubmed/17519562","Mandrioli L, Panarese S, Cesari A, Mandara MT, Marcato PS, Bettini G.","J Vet Sci. 2007 Jun;8(2):111-5.","J Vet Sci.  2007","PubMed","citation","PMID:17519562 | PMCID:PMC2872707","pubmed","17519562","create date:2007/05/24 | first author:Mandrioli L",
"A prospective study of allergy development in 158 children and 128 adults with new extensive exposure to furred animals.","/pubmed/17517109","Millqvist E, Johansson A, Månsson T, Bende M.","Clin Exp Allergy. 2007 Jun;37(6):948-53.","Clin Exp Allergy.  2007","PubMed","citation","PMID:17517109","pubmed","17517109","create date:2007/05/23 | first author:Millqvist E",
"Species identification of animal cells by nested PCR targeted to mitochondrial DNA.","/pubmed/17516125","Ono K, Satoh M, Yoshida T, Ozawa Y, Kohara A, Takeuchi M, Mizusawa H, Sawada H.","In Vitro Cell Dev Biol Anim. 2007 May-Jun;43(5-6):168-75. Epub 2007 May 22.","In Vitro Cell Dev Biol Anim.  2007","PubMed","citation","PMID:17516125","pubmed","17516125","create date:2007/05/23 | first author:Ono K",
"Recall of pet food leaves veterinarians seeking solutions.","/pubmed/17501647","Burns K, Nolen S, Kahler S, Rezendes A.","J Am Vet Med Assoc. 2007 Apr 15;230(8):1128-9, 1136-8. No abstract available. ","J Am Vet Med Assoc.  2007","PubMed","citation","PMID:17501647","pubmed","17501647","create date:2007/05/16 | first author:Burns K",
"Diseases pets and people share.","/pubmed/17494538","Bender JB, Minicucci L.","Minn Med. 2007 Apr;90(4):43-7.","Minn Med.  2007","PubMed","citation","PMID:17494538","pubmed","17494538","create date:2007/05/15 | first author:Bender JB",
"Cat scratch disease from a domestic dog.","/pubmed/17493900","Chen TC, Lin WR, Lu PL, Lin CY, Chen YH.","J Formos Med Assoc. 2007 Feb;106(2 Suppl):S65-68. Review.","J Formos Med Assoc.  2007","PubMed","citation","PMID:17493900","pubmed","17493900","create date:2007/05/12 | first author:Chen TC",
"Prevalence of Anaplasma phagocytophilum in domestic felines in the United States.","/pubmed/17493756","Billeter SA, Spencer JA, Griffin B, Dykstra CC, Blagburn BL.","Vet Parasitol. 2007 Jun 20;147(1-2):194-8. Epub 2007 May 9.","Vet Parasitol.  2007","PubMed","citation","PMID:17493756","pubmed","17493756","create date:2007/05/12 | first author:Billeter SA",
"Intraspecific variation of Spirometra erinaceieuropaei and phylogenetic relationship between Spirometra and Diphyllobothrium inferred from mitochondrial CO1 gene sequences.","/pubmed/17482507","Okamoto M, Iseto C, Shibahara T, Sato MO, Wandra T, Craig PS, Ito A.","Parasitol Int. 2007 Sep;56(3):235-8. Epub 2007 Apr 3.","Parasitol Int.  2007","PubMed","citation","PMID:17482507","pubmed","17482507","create date:2007/05/08 | first author:Okamoto M",
"Thromboembolic therapies in dogs and cats: an evidence-based approach.","/pubmed/17466757","Lunsford KV, Mackin AJ.","Vet Clin North Am Small Anim Pract. 2007 May;37(3):579-609. Review.","Vet Clin North Am Small Anim Pract.  2007","PubMed","citation","PMID:17466757","pubmed","17466757","create date:2007/05/01 | first author:Lunsford KV",
"Genetic characterization of Toxoplasma gondii isolates in dogs from Vietnam suggests their South American origin.","/pubmed/17442492","Dubey JP, Huong LT, Sundar N, Su C.","Vet Parasitol. 2007 May 31;146(3-4):347-51. Epub 2007 Apr 17.","Vet Parasitol.  2007","PubMed","citation","PMID:17442492","pubmed","17442492","create date:2007/04/20 | first author:Dubey JP",
"Small animal deworming protocols, client education, and veterinarian perception of zoonotic parasites in western Canada.","/pubmed/17436903","Stull JW, Carr AP, Chomel BB, Berghaus RD, Hird DW.","Can Vet J. 2007 Mar;48(3):269-76.","Can Vet J.  2007","PubMed","citation","PMID:17436903 | PMCID:PMC1800965","pubmed","17436903","create date:2007/04/18 | first author:Stull JW",
"Genotyping of Giardia duodenalis from human and animal samples from Brazil using beta-giardin gene: a phylogenetic analysis.","/pubmed/17428432","Volotão AC, Costa-Macedo LM, Haddad FS, Brandão A, Peralta JM, Fernandes O.","Acta Trop. 2007 Apr;102(1):10-9. Epub 2007 Feb 25.","Acta Trop.  2007","PubMed","citation","PMID:17428432","pubmed","17428432","create date:2007/04/13 | first author:Volotão AC",
"Which aeroallergens are associated with eczema severity?","/pubmed/17425649","Hon KL, Leung TF, Lam MC, Wong KY, Chow CM, Fok TF, Ng PC.","Clin Exp Dermatol. 2007 Jul;32(4):401-4. Epub 2007 Apr 8.","Clin Exp Dermatol.  2007","PubMed","citation","PMID:17425649","pubmed","17425649","create date:2007/04/12 | first author:Hon KL",
"Meningitis caused by Capnocytophaga canimorsus: when to expect the unexpected.","/pubmed/17408852","de Boer MG, Lambregts PC, van Dam AP, van 't Wout JW.","Clin Neurol Neurosurg. 2007 Jun;109(5):393-8. Epub 2007 Apr 3. Review.","Clin Neurol Neurosurg.  2007","PubMed","citation","PMID:17408852","pubmed","17408852","create date:2007/04/06 | first author:de Boer MG",
"Factors associated with dog ownership and contact with dogs in a UK community.","/pubmed/17407583","Westgarth C, Pinchbeck GL, Bradshaw JW, Dawson S, Gaskell RM, Christley RM.","BMC Vet Res. 2007 Apr 3;3:5.","BMC Vet Res.  2007","PubMed","citation","PMID:17407583 | PMCID:PMC1852100","pubmed","17407583","create date:2007/04/05 | first author:Westgarth C",
"The skin prick test results of 977 patients suffering from chronic rhinitis in Hong Kong.","/pubmed/17406040","Yuen AP, Cheung S, Tang KC, Ho WK, Wong BY, Cheung AC, Ho AC.","Hong Kong Med J. 2007 Apr;13(2):131-6.","Hong Kong Med J.  2007","PubMed","citation","PMID:17406040","pubmed","17406040","create date:2007/04/05 | first author:Yuen AP",
"Allometric dependence of the life span of mammal erythrocytes on thermal stability and sphingomyelin content of plasma membranes.","/pubmed/17398129","Ivanov IT.","Comp Biochem Physiol A Mol Integr Physiol. 2007 Aug;147(4):876-84. Epub 2007 Feb 21.","Comp Biochem Physiol A Mol Integr Physiol.  2007","PubMed","citation","PMID:17398129","pubmed","17398129","create date:2007/04/03 | first author:Ivanov IT",
"Respiratory symptoms, asthma and allergen levels in schools--comparison between Korea and Sweden.","/pubmed/17391234","Kim JL, Elfman L, Norbäck D.","Indoor Air. 2007 Apr;17(2):122-9.","Indoor Air.  2007","PubMed","citation","PMID:17391234","pubmed","17391234","create date:2007/03/30 | first author:Kim JL",
"Study of animal species (human, dog and cat) identification using a multiplex single-base primer extension reaction in the cytochrome b gene.","/pubmed/17382503","Nakaki S, Hino D, Miyoshi M, Nakayama H, Moriyoshi H, Morikawa T, Itohara K.","Forensic Sci Int. 2007 Dec 20;173(2-3):97-102. Epub 2007 Mar 26.","Forensic Sci Int.  2007","PubMed","citation","PMID:17382503","pubmed","17382503","create date:2007/03/27 | first author:Nakaki S",
"Measurement of aldosterone in feline, canine and human urine.","/pubmed/17381765","Syme HM, Fletcher MG, Bailey SR, Elliott J.","J Small Anim Pract. 2007 Apr;48(4):202-8.","J Small Anim Pract.  2007","PubMed","citation","PMID:17381765","pubmed","17381765","create date:2007/03/27 | first author:Syme HM",
"An epidemiological study of animal bites in India: results of a WHO sponsored national multi-centric rabies survey.","/pubmed/17370688","Sudarshan MK, Mahendra BJ, Madhusudana SN, Ashwoath Narayana DH, Rahman A, Rao NS, X-Meslin F, Lobo D, Ravikumar K, Gangaboraiah.","J Commun Dis. 2006 Mar;38(1):32-9.","J Commun Dis.  2006","PubMed","citation","PMID:17370688","pubmed","17370688","create date:2007/03/21 | first author:Sudarshan MK",
"Emergence of Arctic-like rabies lineage in India.","/pubmed/17370523","Nadin-Davis SA, Turner G, Paul JP, Madhusudana SN, Wandeler AI.","Emerg Infect Dis. 2007 Jan;13(1):111-6.","Emerg Infect Dis.  2007","PubMed","citation","PMID:17370523 | PMCID:PMC2725804","pubmed","17370523","create date:2007/03/21 | first author:Nadin-Davis SA",
"Presence and diversity of the beta-lactamase gene in cat and dog staphylococci.","/pubmed/17350771","Malik S, Christensen H, Peng H, Barton MD.","Vet Microbiol. 2007 Jul 20;123(1-3):162-8. Epub 2007 Feb 16.","Vet Microbiol.  2007","PubMed","citation","PMID:17350771","pubmed","17350771","create date:2007/03/14 | first author:Malik S",
"Environmental and socio-demographic factors associated to asthma in adolescents in Rio de Janeiro, Brazil.","/pubmed/17338787","Kuschnir FC, Alves da Cunha AJ.","Pediatr Allergy Immunol. 2007 Mar;18(2):142-8.","Pediatr Allergy Immunol.  2007","PubMed","citation","PMID:17338787","pubmed","17338787","create date:2007/03/07 | first author:Kuschnir FC",
"Expression of receptor activator of nuclear factor kappa-B ligand (RANKL) in neoplasms of dogs and cats.","/pubmed/17338161","Barger AM, Fan TM, de Lorimier LP, Sprandel IT, O'Dell-Anderson K.","J Vet Intern Med. 2007 Jan-Feb;21(1):133-40. Erratum in: J Vet Intern Med. 2007 Mar-Apr;21(2):viii. ","J Vet Intern Med.  2007","PubMed","citation","PMID:17338161","pubmed","17338161","create date:2007/03/07 | first author:Barger AM",
"Double chambered right ventricle in 9 cats.","/pubmed/17338153","Koffas H, Fuentes VL, Boswood A, Connolly DJ, Brockman DJ, Bonagura JD, Meurs KM, Koplitz S, Baumwart R.","J Vet Intern Med. 2007 Jan-Feb;21(1):76-80.","J Vet Intern Med.  2007","PubMed","citation","PMID:17338153","pubmed","17338153","create date:2007/03/07 | first author:Koffas H",
"Prevalence of helminth ova in soil samples from public places in Shiraz.","/pubmed/17333794","Motazedian H, Mehrabani D, Tabatabaee SH, Pakniat A, Tavalali M.","East Mediterr Health J. 2006 Sep;12(5):562-5.","East Mediterr Health J.  2006","PubMed","citation","PMID:17333794","pubmed","17333794","create date:2007/03/06 | first author:Motazedian H",
"Comparative aspects of coccidioidomycosis in animals and humans.","/pubmed/17332082","Shubitz LF.","Ann N Y Acad Sci. 2007 Sep;1111:395-403. Epub 2007 Mar 1. Review.","Ann N Y Acad Sci.  2007","PubMed","citation","PMID:17332082","pubmed","17332082","create date:2007/03/03 | first author:Shubitz LF",
"Shiga toxin-producing and attaching and effacing Escherichia coli in cats and dogs in a high hemolytic uremic syndrome incidence region in Argentina.","/pubmed/17328115","Bentancor A, Rumi MV, Gentilini MV, Sardoy C, Irino K, Agostini A, Cataldi A.","FEMS Microbiol Lett. 2007 Feb;267(2):251-6.","FEMS Microbiol Lett.  2007","PubMed","citation","PMID:17328115","pubmed","17328115","create date:2007/03/01 | first author:Bentancor A",
"Evaluation of three canine gamma-crystallins (CRYGB, CRYGC, and CRYGS) as candidates for hereditary cataracts in the dachshund.","/pubmed/17327821","Müller C, Wöhlke A, Distl O.","Mol Vis. 2007 Jan 31;13:125-32.","Mol Vis.  2007","PubMed","citation","PMID:17327821 | PMCID:PMC2533037","pubmed","17327821","create date:2007/03/01 | first author:Müller C",
"Exercise-induced bronchospasm and atopy in Ghana: two surveys ten years apart.","/pubmed/17326711","Addo-Yobo EO, Woodcock A, Allotey A, Baffoe-Bonnie B, Strachan D, Custovic A.","PLoS Med. 2007 Feb;4(2):e70.","PLoS Med.  2007","PubMed","citation","PMID:17326711 | PMCID:PMC1808098","pubmed","17326711","create date:2007/03/01 | first author:Addo-Yobo EO",
"Pasteurella multocida sepsis, due to a scratch from a pet cat, in a post-chemotherapy neutropenic patient with non-Hodgkin lymphoma.","/pubmed/17321993","Yokose N, Dan K.","Int J Hematol. 2007 Feb;85(2):146-8. Review.","Int J Hematol.  2007","PubMed","citation","PMID:17321993","pubmed","17321993","create date:2007/02/27 | first author:Yokose N",
"Differentiating human bone from animal bone: a review of histological methods.","/pubmed/17316219","Hillier ML, Bell LS.","J Forensic Sci. 2007 Mar;52(2):249-63. Review.","J Forensic Sci.  2007","PubMed","citation","PMID:17316219","pubmed","17316219","create date:2007/02/24 | first author:Hillier ML",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Light at the end of the tunnel? Advances in the understanding and treatment of glaucoma and inherited retinal degeneration.","/pubmed/17307370","Ofri R, Narfström K.","Vet J. 2007 Jul;174(1):10-22. Epub 2007 Feb 20. Review.","Vet J.  2007","PubMed","citation","PMID:17307370","pubmed","17307370","create date:2007/02/20 | first author:Ofri R",
"Occupational contact urticaria and rhinoconjunctivitis from dog's milk in a veterinarian.","/pubmed/17295696","Foti C, Antelmi A, Mistrello G, Guarneri F, Filotico R.","Contact Dermatitis. 2007 Mar;56(3):169-71.","Contact Dermatitis.  2007","PubMed","citation","PMID:17295696","pubmed","17295696","create date:2007/02/14 | first author:Foti C",
"Cat and dog bites. What to do? Guidelines for the treatment of cat and dog bites in humans.","/pubmed/17290697","Philipsen TE, Molderez C, Gys T.","Acta Chir Belg. 2006 Nov-Dec;106(6):692-5.","Acta Chir Belg.  2006","PubMed","citation","PMID:17290697","pubmed","17290697","create date:2007/02/13 | first author:Philipsen TE",
"The veterinary and public health significance of hookworm in dogs and cats in Australia and the status of A. ceylanicum.","/pubmed/17276602","Palmer CS, Traub RJ, Robertson ID, Hobbs RP, Elliot A, While L, Rees R, Thompson RC.","Vet Parasitol. 2007 Apr 30;145(3-4):304-13. Epub 2007 Feb 5.","Vet Parasitol.  2007","PubMed","citation","PMID:17276602","pubmed","17276602","create date:2007/02/06 | first author:Palmer CS",
"Methicillin-resistant Staphylococcus pseudintermedius in a veterinary teaching hospital.","/pubmed/17267624","Sasaki T, Kikuchi K, Tanaka Y, Takahashi N, Kamata S, Hiramatsu K.","J Clin Microbiol. 2007 Apr;45(4):1118-25. Epub 2007 Jan 31.","J Clin Microbiol.  2007","PubMed","citation","PMID:17267624 | PMCID:PMC1865850","pubmed","17267624","create date:2007/02/03 | first author:Sasaki T",
